M00001	KEGG	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)
M00002	KEGG	Glycolysis, core module involving three-carbon compounds	K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)
M00003	KEGG	Gluconeogenesis, oxaloacetate => fructose-6P	(K01596,K01610) K01689 (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)
M00004	KEGG	Pentose phosphate pathway (Pentose phosphate cycle)	(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 K00616 (K01810,K06859,K13810,K15916)
M00005	KEGG	PRPP biosynthesis, ribose 5P => PRPP	K00948
M00006	KEGG	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	(K13937,((K00036,K19243) (K01057,K07404))) K00033
M00007	KEGG	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	K00615 (K00616,K13810) K01783 (K01807,K01808)
M00008	KEGG	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	K00036 (K01057,K07404) K01690 K01625
M00009	KEGG	Citrate cycle (TCA cycle, Krebs cycle)	(K01647,K05942) (K01681,K01682) (K00031,K00030) ((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)
M00010	KEGG	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	(K01647,K05942) (K01681,K01682) (K00031,K00030)
M00011	KEGG	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)
M00012	KEGG	Glyoxylate cycle	K01647 (K01681,K01682) K01637 (K01638,K19282) (K00026,K00025,K00024)
M00013	KEGG	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	(K00248,K00232) (K07511,K14729) K05605 K23146 K00140
M00014	KEGG	Glucuronate pathway (uronate pathway)	K00012 ((K12447 K16190),(K00699 (K01195,K14756))) K00002 K13247 -- K03331 (K05351,K00008) K00854
M00015	KEGG	Proline biosynthesis, glutamate => proline	((K00931 K00147),K12657) K00286
M00016	KEGG	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K00674 (K00821,K14267) K01439 K01778 (K01586,K12526)
M00017	KEGG	Methionine biosynthesis, aspartate => homoserine => methionine	(K00928,K12524,K12525) K00133 (K00003,K12524,K12525) (K00651,K00641) K01739 (K01760,K14155) (K00548,K24042,K00549)
